ISBN;Title;Author;Publisher;Genre
289-0-0000315-0-4;Apulki;Deshpande, P L;Penguin;nonfiction
289-0-0000315-0-5;Unpopular Essays;Russell, Bertrand;Penguin;philosophy
289-0-0000315-0-6;Deceiver, The;Forsyth, Frederick;Fontana;fiction
289-0-0000315-0-7;Veil: Secret Wars of the CIA;Woodward, Bob;Penguin;nonfiction
289-0-0000315-0-8;Char Shabda;Deshpande, P L;Penguin;nonfiction
289-0-0000315-0-9;Rosy is My Relative;Durrell, Gerald;Fontana;fiction
389-0-0000415-0-4;Short History of the World, A;Wells, H G;Penguin;nonfiction
389-0-0000415-0-5;Trembling of a Leaf, The;Maugham, William S;Penguin;fiction
389-0-0000415-0-6;Doctor on the Brain;Gordon, Richard;Random House;fiction
389-0-0000415-0-7;Simpsons & Their Mathematical Secrets;Singh, Simon;Vintage;science
389-0-0000515-0-3;Pattern Classification;Duda, Hart;Vintage;tech
389-0-0000515-0-4;From Beirut to Jerusalem;Friedman, Thomas;Vintage;nonfiction
389-0-0000515-0-5;Code Book, The;Singh, Simon;HarperCollins;science
389-0-0000515-0-6;Age of the Warrior, The;Fisk, Robert;Penguin;nonfiction
389-0-0006550-0-5;Life in Letters, A;Steinbeck, John;Penguin;nonfiction
389-0-0006550-0-6;Information, The;Gleick, James;Penguin;science
389-0-0006550-0-8;Elements of Information Theory;Thomas, Joy;Random House;tech
389-0-0006550-0-9;Power Electronics - Rashid;Rashid, Muhammad;Vintage;tech
389-0-0006850-0-2;Power Electronics - Mohan;Mohan, Ned;Penguin;tech
389-0-0006850-0-3;Neural Networks;Haykin, Simon;Penguin;tech
389-0-0006850-0-4;Grapes of Wrath, The;Steinbeck, John;Random House;fiction
389-0-0006850-0-5;Vyakti ani Valli;Deshpande, P L;Vintage;nonfiction
389-0-0006850-0-6;Statistical Learning Theory;Vapnik, Vladimir;Vintage;tech
389-0-0006850-0-7;Empire of the Mughal - The Tainted Throne;Rutherford, Alex;Vintage;nonfiction
389-0-0006850-0-8;Empire of the Mughal - Brothers at War;Rutherford, Alex;HarperCollins;nonfiction
389-0-0006850-0-9;Empire of the Mughal - Ruler of the World;Rutherford, Alex;Penguin;nonfiction
389-0-0062850-0-2;Empire of the Mughal - The Serpent's Tooth;Rutherford, Alex;Penguin;nonfiction
389-0-0062850-0-3;Empire of the Mughal - Raiders from the North;Rutherford, Alex;Penguin;nonfiction
389-0-0062850-0-4;Mossad;Baz-Zohar, Michael;Random House;nonfiction
389-0-0062850-0-5;Jim Corbett Omnibus;Corbett, Jim;Penguin;nonfiction
389-0-0062850-0-6;20000 Leagues Under the Sea;Verne, Jules;Penguin;fiction
389-0-0062850-0-7;Batatyachi Chal;Deshpande P L;Random House;fiction
389-0-0062850-0-8;Hafasavnuk;Deshpande P L;Vintage;fiction
389-0-0062850-0-9;Urlasurla;Deshpande P L;Vintage;fiction
500-0-0063850-0-2;Pointers in C;Kanetkar, Yashwant;Vintage;tech
500-0-0063850-0-3;Cathedral and the Bazaar, The;Raymond, Eric;HarperCollins;tech
500-0-0063850-0-4;Design with OpAmps;Franco, Sergio;Vintage;tech
500-0-0063850-0-5;Think Complexity;Downey, Allen;Vintage;tech
500-0-0063850-0-6;Devil's Advocate, The;West, Morris;Vintage;fiction
500-0-0063850-0-7;Ayn Rand Answers;Rand, Ayn;HarperCollins;philosophy
500-0-0063850-0-8;Philosophy: Who Needs It;Rand, Ayn;Vintage;philosophy
501-0-0063950-0-3;Data Analysis with Open Source Tools;Janert, Phillip;Vintage;tech
501-0-0063950-0-4;Broca's Brain;Sagan, Carl;Vintage;science
501-0-0063950-0-5;Men of Mathematics;Bell, E T;HarperCollins;science
501-0-0063950-0-6;Oxford book of Modern Science Writing;Dawkins, Richard;Vintage;science
501-0-0063950-0-7;Justice, Judiciary and Democracy;Ranjan, Sudhanshu;Vintage;nonfiction
501-0-0063950-0-8;Arthashastra, The;Kautiyla;Vintage;philosophy
501-0-0063950-0-9;We the People;Palkhivala;HarperCollins;philosophy
601-0-0073950-0-2;We the Nation;Palkhivala;Vintage;philosophy
601-0-0073950-0-3;Courtroom Genius, The;Sorabjee;Vintage;nonfiction
601-0-0073950-0-4;Dongri to Dubai;Zaidi, Hussain;Vintage;nonfiction
601-0-0073950-0-5;History of England, Foundation;Ackroyd, Peter;HarperCollins;nonfiction
601-0-0073950-0-6;City of Djinns;Dalrymple, William;Vintage;nonfiction
601-0-0073950-0-7;India's Legal System;Nariman;Vintage;nonfiction
601-0-0073950-0-8;More Tears to Cry;Sassoon, Jean;Vintage;fiction
601-0-0073950-0-9;Ropemaker, The;Dickinson, Peter;HarperCollins;fiction
604-0-0083950-0-2;Angels & Demons;Brown, Dan;Vintage;fiction
604-0-0083950-0-5;Prince, The;Machiavelli;Vintage;fiction
604-0-0083950-0-6;Eyeless in Gaza;Huxley, Aldous;Vintage;fiction
604-0-0083950-0-7;Tales of Beedle the Bard;Rowling, J K;HarperCollins;fiction
604-0-0083950-0-8;Girl with the Dragon Tattoo;Larsson, Steig;Vintage;fiction
604-0-0083950-0-9;Girl who kicked the Hornet's Nest;Larsson, Steig;HarperCollins;fiction
704-0-0083950-0-4;Girl who played with Fire;Larsson, Steig;Vintage;fiction
704-0-0083950-0-7;Structure and Randomness;Tao, Terence;Vintage;science
704-0-0083950-0-8;Image Processing with MATLAB;Eddins, Steve;Vintage;tech
864-0-0083950-0-4;Animal Farm;Orwell, George;Vintage;fiction
864-0-0083950-0-5;Idiot, The;Dostoevsky, Fyodor;Vintage;fiction
864-0-0083950-0-6;Christmas Carol, A;Dickens, Charles;Vintage;fiction
